#Chromosome	Start	End	Gene	Transcript
chr7	75398842	75420915	CCL26	NM_001371938.1
chr7	75440143	75452690	CCL24	NM_002991.3
chr7	75508352	75518244	RHBDD2	NM_001040456.3
chr7	75544473	75616173	POR	NM_000941.3
chr7	75616149	75623913	TMEM120A	NM_031925.3
chr7	75625655	75677318	STYXL1	NM_001317785.2
chr7	75677424	75696826	MDH2	NM_005918.4
chr7	75831214	75916604	SRRM3	NM_001110199.3
chr7	75931990	75933609	HSPB1	NM_001540.5
chr7	75956116	75988308	YWHAG	NM_012479.4
chr7	76018654	76039014	SSC4D	NM_080744.2
chr7	76026839	76071386	ZP3	NM_001110354.2
chr7	76090972	76135308	DTX2	NM_001102594.2
chr7	76139869	76145839	UPK3B	NM_001347684.2
chr7	76163011	76169703	SPDYE16	NM_001351597.1
chr7	76239303	76256620	POMZP3	NM_012230.4
chr7	76651636	76661678	SPDYE9	NM_001382554.1
chr7	76682050	76690198	SPDYE18	NM_001351348.1
chr7	76751932	76924521	CCDC146	NM_020879.3
chr7	76822686	76829136	FGL2	NM_006682.3
chr7	76940068	77045666	GSAP	NM_017439.4
chr7	77166612	77269386	PTPN12	NM_002835.4
chr7	77325776	77412339	RSBN1L	NM_198467.3
chr7	77423045	77427751	TMEM60	NM_032936.4
chr7	77428090	77586821	PHTF2	NM_001127358.2
chr7	77646372	79082983	MAGI2	NM_012301.4
chr7	79764147	79855497	GNAI1	NM_002069.6
chr7	80087951	80141380	GNAT3	NM_001102386.3
chr7	80231523	80308593	CD36	NM_001001548.2
chr7	80371854	80551705	SEMA3C	NM_006379.5
chr7	81328326	81399363	HGF	NM_000601.6
chr7	81575760	82073272	CACNA2D1	NM_000722.4
chr7	82383328	82792200	PCLO	NM_033026.6
chr7	82992554	83278455	SEMA3E	NM_012431.3
chr7	83585093	83824105	SEMA3A	NM_006080.3
chr7	84624869	84879559	SEMA3D	NM_152754.3
chr7	86273225	86494195	GRM3	NM_000840.3
chr7	86506222	86688970	ELAPOR2	NM_001142749.3
chr7	86781769	86825641	DMTF1	NM_001142327.2
chr7	86825476	86849903	TMEM243	NM_024315.4
chr7	86974980	87029110	CROT	NM_021151.4
chr7	87031012	87104996	ABCB4	NM_000443.4
chr7	87132333	87342611	ABCB1	NM_001348946.2
chr7	87257714	87461611	RUNDC3B	NM_001134405.2
chr7	87462883	87505675	SLC25A40	NM_018843.4
chr7	87505808	87538868	DBF4	NM_006716.4
chr7	87563566	87832204	ADAM22	NM_001324418.2
chr7	87834430	87856291	SRI	NM_003130.4
chr7	87900207	87936209	STEAP4	NM_024636.4
chr7	88389014	88967842	ZNF804B	NM_181646.5
chr7	88423420	88425051	TEX47	NM_152706.4
chr7	89783783	89794141	STEAP1	NM_012449.3
chr7	89841054	89866997	STEAP2	NM_001244944.2
chr7	89874488	89940377	CFAP69	NM_001039706.3
chr7	89946121	89950297	FAM237B	NM_001384237.1
chr7	89976030	90020767	GTPBP10	NM_033107.4
chr7	90032775	90045268	CLDN12	NM_001185072.3
chr7	90098953	90142711	PTTG1IP2	NM_001365443.2
chr7	90225635	90839905	CDK14	NM_001287135.2
chr7	90893748	90900641	FZD1	NM_003505.2
chr7	91500243	91510016	MTERF1	NM_006980.5
chr7	91570176	91739987	AKAP9	NM_005751.5
chr7	91741467	91764117	CYP51A1	NM_000786.4
chr7	91770957	91808456	LRRD1	NM_001161528.2
chr7	91828283	91875414	KRIT1	NM_194454.3
chr7	91875288	92030697	ANKIB1	NM_019004.2
chr7	92076796	92089389	GATAD1	NM_021167.5
chr7	92097694	92107260	ERVW-1	NM_001130925.2
chr7	92116339	92157834	PEX1	NM_000466.3
chr7	92158109	92169795	RBM48	NM_032120.4
chr7	92190072	92219704	FAM133B	NM_152789.4
chr7	92234235	92465887	CDK6	NM_001145306.2
chr7	92728831	92747292	SAMD9	NM_017654.4
chr7	92759369	92777698	SAMD9L	NM_152703.5
chr7	92817847	92861511	HEPACAM2	NM_001039372.4
chr7	92861679	92990435	VPS50	NM_017667.4
chr7	93053798	93204042	CALCR	NM_001742.4
chr7	93514708	93520065	TFPI2	NM_006528.4
chr7	93535879	93540577	GNGT1	NM_021955.5
chr7	93551047	93557922	GNG11	NM_004126.4
chr7	93592074	93633667	BET1	NM_005868.6
chr7	94024207	94060539	COL1A2	NM_000089.4
chr7	94139121	94186331	CASD1	NM_022900.5
chr7	94214292	94285445	SGCE	NM_003919.3
chr7	94285637	94299007	PEG10	NM_001172437.2
chr7	94536906	94925727	PPP1R9A	NM_001166160.2
chr7	94926988	94953844	PON1	NM_000446.7
chr7	94989184	95025687	PON3	NM_000940.3
chr7	95034174	95064340	PON2	NM_000305.3
chr7	95115255	95169545	ASB4	NM_016116.3
chr7	95212811	95225828	PDK4	NM_002612.4
chr7	95401866	95739634	DYNC1I1	NM_001135556.2
chr7	95749532	95951410	SLC25A13	NM_014251.3
chr7	96110938	96339158	SEM1	NM_006304.2
chr7	96634865	96640352	DLX6	NM_005222.4
chr7	96649708	96654143	DLX5	NM_005221.6
chr7	96747010	96811075	SDHAF3	NM_020186.3
chr7	97361398	97369784	TAC1	NM_003182.3
chr7	97480989	97557753	ASNS	NM_001673.5
chr7	97614012	97619416	OCM2	NM_006188.3
chr7	97736174	97838950	LMTK2	NM_014916.4
chr7	97840751	97844769	BHLHA15	NM_177455.4
chr7	97843936	97881544	TECPR1	NM_015395.3
chr7	97910998	97922275	BRI3	NM_015379.5
chr7	97920962	98030402	BAIAP2L1	NM_018842.5
chr7	98246597	98259181	NPTX2	NM_002523.3
chr7	98444113	98467637	TMEM130	NM_152913.3
chr7	98476155	98610864	TRRAP	NM_001375524.1
chr7	98625063	98741731	SMURF1	NM_181349.3
chr7	98771195	98805738	KPNA7	NM_001145715.3
chr7	98923521	98963885	ARPC1A	NM_006409.4
chr7	98972353	98992439	ARPC1B	NM_005720.4
chr7	98992296	99006220	PDAP1	NM_014891.7
chr7	99006592	99017239	BUD31	NM_003910.4
chr7	99014362	99036421	PTCD1	NM_015545.4
chr7	99036566	99054996	CPSF4	NM_006693.4
chr7	99055818	99063790	ATP5MF	NM_004889.5
chr7	99070513	99085228	ZNF789	NM_213603.3
chr7	99084142	99097904	ZNF394	NM_032164.4
chr7	99102285	99132323	ZKSCAN5	NM_145102.4
chr7	99143923	99149737	FAM200A	NM_145111.4
chr7	99156265	99174076	ZNF655	NM_138494.3
chr7	99195890	99208668	TMEM225B	NM_001195541.3
chr7	99214569	99270165	ZSCAN25	NM_145115.3
chr7	99245817	99277619	CYP3A5	NM_000777.5
chr7	99302659	99332819	CYP3A7	NM_000765.5
chr7	99354590	99381807	CYP3A4	NM_017460.6
chr7	99425636	99463716	CYP3A43	NM_057095.3
chr7	99473685	99474656	OR2AE1	NM_001005276.1
chr7	99488026	99517153	TRIM4	NM_033091.3
chr7	99520889	99527243	GJC3	NM_181538.3
chr7	99564353	99573654	AZGP1	NM_001185.4
chr7	99613219	99642997	ZKSCAN1	NM_003439.4
chr7	99647397	99662663	ZSCAN21	NM_145914.3
chr7	99661460	99680200	ZNF3	NM_032924.5
chr7	99686592	99689810	COPS6	NM_006833.5
chr7	99690351	99699020	MCM7	NM_005916.5
chr7	99699266	99706662	AP4M1	NM_004722.4
chr7	99704693	99717481	TAF6	NM_139315.3
chr7	99717257	99723131	CNPY4	NM_152755.2
chr7	99724590	99726118	MBLAC1	NM_203397.3
chr7	99746541	99751826	LAMTOR4	NM_001008395.4
chr7	99752046	99756346	TRAPPC14	NM_018275.5
chr7	99756867	99766240	GAL3ST4	NM_024637.5
chr7	99767229	99775004	GPC2	NM_152742.3
chr7	99775347	99812010	STAG3	NM_001282717.2
chr7	99816871	99819113	PVRIG	NM_024070.3
chr7	99905325	99919819	SPDYE3	NM_001004351.5
chr7	99955626	99965454	PILRB	NM_178238.3
chr7	99971110	99997719	PILRA	NM_013439.3
chr7	99998495	100026326	ZCWPW1	NM_001386010.1
chr7	100026413	100031741	MEPCE	NM_019606.6
chr7	100032905	100034120	PPP1R35	NM_145030.4
chr7	100054243	100061883	C7orf61	NM_001004323.3
chr7	100064142	100076837	TSC22D4	NM_030935.5
chr7	100081550	100092425	NYAP1	NM_173564.4
chr7	100136826	100165843	AGFG2	NM_006076.5
chr7	100169851	100171523	SAP25	NM_001348680.2
chr7	100171634	100183752	LRCH4	NM_002319.5
chr7	100171634	100172842	ZASP	NM_001289933.2
chr7	100183951	100198740	FBXO24	NM_033506.3
chr7	100199986	100205798	PCOLCE	NM_002593.4
chr7	100209785	100213000	MOSPD3	NM_023948.5
chr7	100218043	100239175	TFR2	NM_003227.4
chr7	100240720	100254071	ACTL6B	NM_016188.5
chr7	100271363	100276792	GNB2	NM_005273.4
chr7	100277130	100291873	GIGYF1	NM_001375765.1
chr7	100303744	100305109	POP7	NM_005837.3
chr7	100318091	100321323	EPO	NM_000799.4
chr7	100331218	100395419	ZAN	NM_003386.3
chr7	100400187	100425145	EPHB4	NM_004444.5
chr7	100424491	100464634	SLC12A9	NM_020246.4
chr7	100465009	100471076	TRIP6	NM_003302.3
chr7	100472725	100486285	SRRT	NM_015908.6
chr7	100486342	100487336	UFSP1	NM_001015072.4
chr7	100487615	100494614	ACHE	NM_000665.5
chr7	100547166	100611620	MUC3A	NM_005960.2
chr7	100612904	100662230	MUC12	NM_001164462.1
chr7	100663362	100702140	MUC17	NM_001040105.2
chr7	100728762	100741248	TRIM56	NM_030961.3
chr7	100770385	100782528	SERPINE1	NM_000602.5
chr7	100797757	100804557	AP1S1	NM_001283.5
chr7	100805790	100808850	VGF	NM_003378.4
chr7	100813777	100823574	NAT16	NM_198571.3
chr7	100838288	100844317	MOGAT3	NM_178176.4
chr7	100849265	100860862	PLOD3	NM_001084.5
chr7	100861446	100867471	ZNHIT1	NM_006349.3
chr7	100875375	100882101	CLDN15	NM_014343.3
chr7	100882753	100888362	FIS1	NM_016068.3
chr7	100954195	100965104	IFT22	NM_022777.4
chr7	101006156	101202304	COL26A1	NM_001278563.3
chr7	101256610	101272576	MYL10	NM_138403.5
chr7	101459287	101927250	CUX1	NM_181552.4
chr7	101928432	101962178	SH2B2	NM_001359228.2
chr7	101986186	101996889	SPDYE6	NM_001146210.4
chr7	102004330	102021196	LOC100289561	NM_001242713.3
chr7	102036810	102067113	PRKRIP1	NM_024653.4
chr7	102074022	102097272	ORAI2	NM_001126340.3
chr7	102096685	102105310	ALKBH4	NM_017621.4
chr7	102105431	102113615	LRWD1	NM_152892.3
chr7	102113575	102119369	POLR2J	NM_006234.6
chr7	102120423	102158224	RASA4B	NM_001367767.2
chr7	102178366	102213068	POLR2J3	NM_001097615.2
chr7	102178366	102185235	UPK3BL2	NM_001363506.1
chr7	102191679	102202757	SPDYE2	NM_001031618.3
chr7	102220093	102257205	RASA4	NM_006989.6
chr7	102277195	102312182	POLR2J2	NM_032959.6
chr7	102277472	102283238	UPK3BL1	NM_001114403.3
chr7	102290772	102301847	SPDYE2B	NM_001166339.1
chr7	102389446	102491170	FAM185A	NM_001145268.2
chr7	102453308	102715243	FBXL13	NM_145032.3
chr7	102553447	102585558	LRRC17	NM_001031692.3
chr7	102715587	102740206	ARMC10	NM_031905.5
chr7	102740223	102790448	NAPEPLD	NM_001122838.3
chr7	102937882	102955133	PMPCB	NM_004279.3
chr7	102952736	102985214	DNAJC2	NM_014377.3
chr7	102987971	103009842	PSMC2	NM_002803.4
chr7	102993177	103086654	SLC26A5	NM_198999.3
chr7	103112236	103630105	RELN	NM_005045.4
chr7	103766788	103848461	ORC5	NM_002553.4
chr7	103969051	104549008	LHFPL3	NM_199000.3
chr7	104654652	104755466	KMT2E	NM_182931.3
chr7	104756821	105029838	SRPK2	NM_182692.3
chr7	105096948	105162718	PUS7	NM_019042.5
chr7	105172648	105208124	RINT1	NM_021930.6
chr7	105205571	105221940	EFCAB10	NM_001355526.2
chr7	105245219	105517045	ATXN7L1	NM_020725.2
chr7	105603710	105676878	CDHR3	NM_152750.5
chr7	105730951	105753022	SYPL1	NM_182715.4
chr7	105888744	105925429	NAMPT	NM_005746.3
chr7	106294806	106301604	CCDC71L	NM_175884.6
chr7	106505727	106549425	PIK3CG	NM_001282426.2
chr7	106685150	106802256	PRKAR2B	NM_002736.3
chr7	106809448	106842967	HBP1	NM_012257.4
chr7	106841817	107204365	COG5	NM_006348.5
chr7	107110502	107116129	GPR22	NM_005295.3
chr7	107204416	107218968	DUS4L	NM_181581.3
chr7	107220452	107263762	BCAP29	NM_018844.4
chr7	107301273	107358254	SLC26A4	NM_000441.2
chr7	107384587	107402112	CBLL1	NM_024814.4
chr7	107405914	107443668	SLC26A3	NM_000111.3
chr7	107531552	107561643	DLD	NM_000108.5
chr7	107564244	107643606	LAMB1	NM_002291.3
chr7	107663998	107770806	LAMB4	NM_007356.3
chr7	107788094	108097164	NRCAM	NM_001037132.4
chr7	108110861	108168622	PNPLA8	NM_001256007.3
chr7	108202576	108210212	THAP5	NM_001130475.3
chr7	108210318	108215294	DNAJB9	NM_012328.3
chr7	108524032	108524644	C7orf66	NM_001024607.3
chr7	110302700	111202548	IMMP2L	NM_032549.4
chr7	110731183	110765510	LRRN3	NM_001099658.2
chr7	111366166	111846454	DOCK4	NM_001363540.2
chr7	111846750	111983989	ZNF277	NM_021994.3
chr7	112063229	112117258	IFRD1	NM_001550.4
chr7	112120908	112131117	LSMEM1	NM_182597.3
chr7	112402432	112430448	TMEM168	NM_022484.6
chr7	112459202	112579930	BMT2	NM_152556.3
chr7	112722340	112727779	GPR85	NM_001146267.2
chr7	112756773	112758609	SMIM30	NM_001352688.2
chr7	113516832	113559064	PPP1R3A	NM_002711.4
chr7	113726382	114333820	FOXP2	NM_014491.4
chr7	114562209	114659970	MDFIC	NM_001166345.1
chr7	115575206	115670817	TFEC	NM_012252.4
chr7	115850593	115898837	TES	NM_015641.4
chr7	116139792	116148595	CAV2	NM_001233.5
chr7	116165063	116201239	CAV1	NM_001753.5
chr7	116312250	116438431	MET	NM_000245.4
chr7	116502641	116562103	CAPZA2	NM_006136.3
chr7	116593555	116870230	ST7	NM_001369598.1
chr7	116915505	116963112	WNT2	NM_003391.3
chr7	117003276	117067547	ASZ1	NM_130768.3
chr7	117120079	117308719	CFTR	NM_000492.4
chr7	117350705	117513495	CTTNBP2	NM_033427.3
chr7	117824218	117844089	LSM8	NM_016200.5
chr7	117864758	117882786	ANKRD7	NM_019644.4
chr7	119913229	120390391	KCND2	NM_012281.3
chr7	120427374	120498198	TSPAN12	NM_012338.4
chr7	120590831	120617270	ING3	NM_019071.3
chr7	120628765	120937496	CPED1	NM_024913.5
chr7	120965421	120981158	WNT16	NM_057168.2
chr7	120988932	121036362	FAM3C	NM_014888.3
chr7	121513215	121702090	PTPRZ1	NM_002851.3
chr7	121713603	121784303	AASS	NM_005763.4
chr7	121941357	121944804	FEZF1	NM_001024613.4
chr7	121958465	122526514	CADPS2	NM_017954.11
chr7	122337789	122339171	RNF133	NM_139175.2
chr7	122341722	122342976	RNF148	NM_198085.2
chr7	122634758	122635754	TAS2R16	NM_016945.3
chr7	122753585	122840025	SLC13A1	NM_022444.4
chr7	123092247	123174649	IQUB	NM_178827.5
chr7	123177051	123241705	NDUFA5	NM_005000.5
chr7	123241875	123279535	ASB15	NM_001290258.2
chr7	123295920	123304344	LMOD2	NM_207163.3
chr7	123321997	123389057	WASL	NM_003941.4
chr7	123485223	123517535	HYAL4	NM_012269.3
chr7	123565295	123611468	SPAM1	NM_153189.3
chr7	123670975	123673121	TMEM229A	NM_001136002.2
chr7	124383939	124405846	GPR37	NM_005302.5
chr7	124462440	124569879	POT1	NM_015450.3
chr7	126078652	126892995	GRM8	NM_000845.3
chr7	127010097	127032762	ZNF800	NM_176814.5
chr7	127220682	127225650	GCC1	NM_024523.6
chr7	127228465	127231754	ARF5	NM_001662.4
chr7	127233790	127242198	FSCN3	NM_020369.3
chr7	127250346	127258196	PAX4	NM_001366110.1
chr7	127292248	127732645	SND1	NM_014390.4
chr7	127667124	127671490	LRRC4	NM_022143.5
chr7	127881331	127897682	LEP	NM_000230.3
chr7	127937738	127983962	RBM28	NM_018077.3
chr7	127990379	128001744	PRRT4	NM_001174164.2
chr7	128032331	128050036	IMPDH1	NM_000883.4
chr7	128095932	128098472	HILPDA	NM_013332.4
chr7	128116802	128146656	METTL2B	NM_018396.3
chr7	128312346	128327931	FAM71F2	NM_001128926.4
chr7	128349115	128371795	FAM71F1	NM_001282788.2
chr7	128379413	128413454	CALU	NM_001219.5
chr7	128412539	128415848	OPN1SW	NM_001385125.1
chr7	128431492	128462184	CCDC136	NM_022742.5
chr7	128470460	128499326	FLNC	NM_001458.5
chr7	128502910	128505901	ATP6V1F	NM_004231.4
chr7	128506384	128512101	ATP6V1FNB	NM_001195150.3
chr7	128516919	128550763	KCP	NM_001366122.1
chr7	128577086	128590092	IRF5	NM_001098629.3
chr7	128594239	128695165	TNPO3	NM_012470.4
chr7	128784712	128809540	TSPAN33	NM_178562.5
chr7	128828474	128853386	SMO	NM_005631.5
chr7	128864871	129070052	AHCYL2	NM_001130720.3
chr7	129074273	129128240	STRIP2	NM_020704.3
chr7	129142372	129152759	SMKR1	NM_001195243.2
chr7	129251561	129396916	NRF1	NM_005011.5
chr7	129470572	129592800	UBE2H	NM_003344.4
chr7	129658126	129691291	ZC3HC1	NM_016478.5
chr7	129710374	129775545	KLHDC10	NM_014997.4
chr7	129804553	129845246	TMEM209	NM_032842.4
chr7	129847700	129856684	SSMEM1	NM_145268.4
chr7	129906703	129929638	CPA2	NM_001869.3
chr7	129933001	129964020	CPA4	NM_016352.4
chr7	129984656	130008571	CPA5	NM_080385.5
chr7	130020335	130027949	CPA1	NM_001868.4
chr7	130033612	130080857	CEP41	NM_018718.3
chr7	130126016	130146306	MEST	NM_002402.4
chr7	130146079	130353588	COPG2	NM_012133.6
chr7	130353483	130372268	TSGA13	NM_052933.4
chr7	130415525	130418967	KLF14	NM_138693.4
chr7	130794853	131181391	MKLN1	NM_013255.5
chr7	131185030	131241387	PODXL	NM_001018111.3
chr7	131808099	132333447	PLXNA4	NM_020911.2
chr7	132469631	132766850	CHCHD3	NM_017812.4
chr7	132937834	133750514	EXOC4	NM_021807.4
chr7	133812093	133949347	LRGUK	NM_001365700.3
chr7	133974084	134001682	SLC35B4	NM_032826.5
chr7	134127102	134143991	AKR1B1	NM_001628.4
chr7	134212319	134226164	AKR1B10	NM_020299.5
chr7	134233862	134264621	AKR1B15	NM_001080538.3
chr7	134331605	134364568	BPGM	NM_001724.5
chr7	134464385	134655480	CALD1	NM_033138.4
chr7	134671259	134820530	AGBL3	NM_178563.4
chr7	134777061	134855459	CYREN	NM_024033.4
chr7	134832824	134850967	TMEM140	NM_018295.5
chr7	134868591	134896278	WDR91	NM_014149.4
chr7	134916731	134943415	STRA8	NM_182489.2
chr7	135046547	135194850	CNOT4	NM_001190850.2
chr7	135242665	135333501	NUP205	NM_015135.3
chr7	135347262	135361164	STMP1	NM_001130929.2
chr7	135365979	135412934	SLC13A4	NM_001318192.2
chr7	135414340	135433561	FAM180A	NM_205855.4
chr7	135611508	135662107	LUZP6	NM_001128619.3
chr7	135611508	135662107	MTPN	NM_145808.4
chr7	136553399	136704960	CHRM2	NM_001006630.2
chr7	136912088	137028479	PTN	NM_002825.7
chr7	137065783	137531720	DGKI	NM_001321708.2
chr7	137559725	137686832	CREB3L2	NM_194071.4
chr7	137761205	137803051	AKR1D1	NM_005989.4
chr7	138145004	138274741	TRIM24	NM_015905.3
chr7	138279030	138386107	SVOPL	NM_001139456.2
chr7	138391039	138482941	ATP6V0A4	NM_020632.3
chr7	138482739	138491504	TMEM213	NM_001085429.2
chr7	138516126	138666135	KIAA1549	NM_001164665.2
chr7	138710452	138720788	ZC3HAV1L	NM_080660.4
chr7	138728261	138794466	ZC3HAV1	NM_020119.4
chr7	138818524	138876732	TTC26	NM_024926.4
chr7	138915983	138992982	UBN2	NM_173569.4
chr7	139025218	139108200	LUC7L2	NM_016019.5
chr7	139025218	139031074	FMC1	NM_197964.5
chr7	139137436	139168419	KLRG2	NM_198508.4
chr7	139208431	139229731	CLEC2L	NM_001080511.4
chr7	139246316	139477797	HIPK2	NM_022740.5
chr7	139478041	139720093	TBXAS1	NM_001061.7
chr7	139723549	139762751	PARP12	NM_022750.4
chr7	139784546	139876783	KDM7A	NM_030647.2
chr7	140033552	140098330	SLC37A3	NM_207113.3
chr7	140103858	140127774	RAB19	NM_001008749.3
chr7	140152833	140179369	MKRN1	NM_013446.4
chr7	140218219	140341260	DENND2A	NM_015689.5
chr7	140372745	140394910	ADCK2	NM_052853.4
chr7	140396508	140406443	NDUFB2	NM_004546.3
chr7	140413128	140624729	BRAF	NM_001374258.1
chr7	140702410	140714752	MRPS33	NM_053035.3
chr7	140773864	141180180	TMEM178B	NM_001195278.2
chr7	141251210	141355044	AGK	NM_018238.4
chr7	141356528	141401966	DENND11	NM_001080392.2
chr7	141408153	141431071	WEE2	NM_001105558.1
chr7	141438121	141450288	SSBP1	NM_003143.3
chr7	141463897	141464997	TAS2R3	NM_016943.2
chr7	141476474	141481491	TAS2R4	NM_016944.2
chr7	141490017	141491167	TAS2R5	NM_018980.3
chr7	141536078	141541285	PRSS37	NM_001008270.3
chr7	141616199	141620425	OR9A4	NM_001001656.3
chr7	141627157	141646774	CLEC5A	NM_013252.3
chr7	141672431	141673573	TAS2R38	NM_176817.5
chr7	141695679	141806547	MGAM	NM_001365693.1
chr7	141811518	141922124	MGAM2	NM_001293626.2
chr7	141951963	141957878	PRSS58	NM_001001317.5
chr7	142374131	142375525	MTRNR2L6	NM_001190487.2
chr7	142457323	142460923	PRSS1	NM_002769.5
chr7	142552838	142568847	EPHB6	NM_004445.6
chr7	142568961	142583490	TRPV6	NM_018646.6
chr7	142605267	142630843	TRPV5	NM_019841.7
chr7	142636581	142637955	LLCFC1	NM_001382496.1
chr7	142638201	142659450	KEL	NM_000420.3
chr7	142723287	142724219	OR9A2	NM_001001658.1
chr7	142749438	142750379	OR6V1	NM_001001667.1
chr7	142829170	142836832	PIP	NM_002652.3
chr7	142880512	142881528	TAS2R39	NM_176881.2
chr7	142919130	142920172	TAS2R40	NM_176882.2
chr7	142960534	142966208	GSTK1	NM_015917.3
chr7	142981992	142985142	TMEM139	NM_001282876.2
chr7	142985444	143004789	CASP2	NM_032982.4
chr7	143013204	143049176	CLCN1	NM_000083.3
chr7	143050493	143079397	FAM131B	NM_001031690.3
chr7	143078438	143088204	ZYX	NM_003461.5
chr7	143088222	143105949	EPHA1	NM_005232.5
chr7	143140546	143141502	TAS2R60	NM_177437.1
chr7	143174966	143175889	TAS2R41	NM_176883.2
chr7	143268894	143271480	CTAGE15	NM_001008747.2
chr7	143318067	143427503	TCAF2	NM_001363538.2
chr7	143452182	143454789	CTAGE6	NM_178561.5
chr7	143548468	143599269	TCAF1	NM_014719.3
chr7	143632326	143633279	OR2F2	NM_001004685.1
chr7	143651937	143661453	OR2F1	NM_012369.3
chr7	143697413	143705886	OR6B1	NM_001005281.3
chr7	143746041	143755938	OR2A5	NM_012365.2
chr7	143766904	143772963	OR2A25	NM_001386096.1
chr7	143783371	143796046	OR2A12	NM_001004135.2
chr7	143806676	143807632	OR2A2	NM_001005480.2
chr7	143820269	143828281	OR2A14	NM_001001659.3
chr7	143880548	143883173	CTAGE4	NM_198495.2
chr7	143883176	143892972	ARHGEF35	NM_001003702.3
chr7	143925337	143936698	OR2A42	NM_001001802.3
chr7	143954756	143961885	OR2A7	NM_001005328.2
chr7	143963767	143966877	CTAGE8	NM_001278507.1
chr7	144009512	144019830	OR2A1	NM_001005287.2
chr7	144052495	144077725	ARHGEF5	NM_005435.4
chr7	144094333	144107320	NOBOX	NM_001080413.3
chr7	144149034	144533146	TPK1	NM_022445.4
chr7	145813893	148118090	CNTNAP2	NM_014141.6
chr7	148287858	148312952	C7orf33	NM_145304.4
chr7	148394848	148498202	CUL1	NM_003592.3
chr7	148504475	148581383	EZH2	NM_004456.5
chr7	148700143	148725597	PDIA4	NM_004911.5
chr7	148766733	148787810	ZNF786	NM_152411.4
chr7	148799876	148823416	ZNF425	NM_001001661.3
chr7	148823500	148880134	ZNF398	NM_170686.3
chr7	148892638	148923334	ZNF282	NM_003575.4
chr7	148936742	148952697	ZNF212	NM_012256.4
chr7	148959287	148982085	ZNF783	NM_001195220.2
chr7	149128454	149158153	ZNF777	NM_015694.3
chr7	149169787	149194900	ZNF746	NM_152557.5
chr7	149412042	149431664	KRBA1	NM_001290187.2
chr7	149461271	149470677	ZNF467	NM_207336.3
chr7	149535464	149564568	ZNF862	NM_001099220.3
chr7	149570053	149577802	ATP6V0E2	NM_145230.4
chr7	149578449	150020634	ACTR3C	NM_001164458.2
chr7	150006588	150035245	LRRC61	NM_001142928.2
chr7	150026938	150029810	ZBED6CL	NM_138434.2
chr7	150035418	150038718	RARRES2	NM_002889.4
chr7	150065185	150071128	REPIN1	NM_001099695.2
chr7	150076419	150095718	ZNF775	NM_173680.4
chr7	150147718	150176481	GIMAP8	NM_175571.4
chr7	150211960	150218161	GIMAP7	NM_153236.4
chr7	150264478	150271041	GIMAP4	NM_018326.3
chr7	150322463	150329473	GIMAP6	NM_024711.6
chr7	150382794	150390729	GIMAP2	NM_015660.3
chr7	150413701	150421372	GIMAP1	NM_130759.4
chr7	150434506	150440734	GIMAP5	NM_018384.5
chr7	150488389	150498448	TMEM176B	NM_001101312.2
chr7	150497857	150502206	TMEM176A	NM_018487.3
chr7	150549605	150558592	AOC1	NM_001091.4
chr7	150642049	150675409	KCNH2	NM_000238.4
chr7	150688105	150711676	NOS3	NM_000603.5
chr7	150709297	150721586	ATG9B	NM_001317056.1
chr7	150725537	150744869	ABCB8	NM_007188.5
chr7	150745379	150749843	ASIC3	NM_004769.4
chr7	150750902	150754984	CDK5	NM_004935.4
chr7	150755287	150773614	SLC4A2	NM_003040.4
chr7	150773711	150777896	FASTK	NM_006712.5
chr7	150778172	150780580	TMUB1	NM_001136044.2
chr7	150782954	150841521	AGAP3	NM_031946.7
chr7	150845096	150864781	GBX1	NM_001098834.3
chr7	150872785	150884879	ASB10	NM_001142459.2
chr7	150887960	150902582	IQCA1L	NM_001304419.2
chr7	150904923	150907574	H2BE1	NM_001369125.1
chr7	150908570	150924291	ABCF2	NM_007189.3
chr7	150929569	150935908	CHPF2	NM_019015.3
chr7	150935866	150974235	SMARCD3	NM_001003801.2
chr7	151038898	151075535	NUB1	NM_016118.5
chr7	151078210	151107798	WDR86	NM_198285.3
chr7	151125918	151137899	CRYGN	NM_144727.3
chr7	151163098	151216981	RHEB	NM_005614.4
chr7	151253213	151574200	PRKAG2	NM_016203.4
chr7	151503424	151507906	LOC644090	NM_001354885.2
chr7	151653531	151717014	GALNTL5	NM_145292.4
chr7	151722759	151819425	GALNT11	NM_022087.4
chr7	151832010	152133088	KMT2C	NM_170606.3
chr7	152341861	152373226	XRCC2	NM_005431.2
chr7	152456837	152552463	ACTR3B	NM_020445.6
chr7	153445218	154685995	DPP6	NM_130797.4
chr7	154735400	154794834	PAXIP1	NM_007349.4
chr7	154862034	154879102	HTR5A	NM_024012.4
chr7	155089588	155101945	INSIG1	NM_005542.6
chr7	155250824	155257526	EN2	NM_001427.4
chr7	155293824	155363441	CNPY1	NM_001369818.1
chr7	155437355	155574174	RBM33	NM_053043.3
chr7	155592674	155605157	SHH	NM_000193.4
chr7	156433468	156469824	RNF32	NM_030936.4
chr7	156461706	156685877	LMBR1	NM_022458.4
chr7	156742406	156765870	NOM1	NM_138400.2
chr7	156797548	156803357	MNX1	NM_005515.4
chr7	156931620	157062064	UBE3C	NM_014671.3
chr7	157129698	157210133	DNAJB6	NM_058246.4
chr7	157331750	158380515	PTPRN2	NM_002847.5
